Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
C(PICC)[T.peripheral_UE],1.971070745070016,6.533756639950594,0.3016749557242341,0.762899861748567,False,-10.834856952982586,14.776998443122617,PC3
C(UVC)[T.UVC],6.685715430154867,3.508286985057928,1.905692281911331,0.05669014124666229,False,-0.19040070798928266,13.561831568299016,PC3
C(Delivery)[T.Vaginal],-0.5733175635490786,3.2690578211552714,-0.1753770030737696,0.860783409421183,False,-6.980553156392392,5.833918029294234,PC3
Group Var,0.0762794558323014,0.03654800262900353,2.087103270912212,0.036878800467308584,True,0.004646686972579264,0.14791222469202353,PC3
Intercept,-4.0385914951594035,8.005483994163237,-0.5044781175134349,0.6139254356059065,False,-19.72905180253121,11.6518688122124,PC4
C(SampleType)[T.Groin],-4.941420390555907,1.828587863807016,-2.7023149876255603,0.00688584945336616,True,-8.525386746184692,-1.3574540349271218,PC4
C(SampleType)[T.Stool],5.84408326325199,1.7024366718616053,3.4327757148590536,0.0005974360916021249,True,2.50736870044301,9.18079782606097,PC4
C(Location)[T.ZCH],1.8716984128974727,2.7673828116923938,0.6763424290233396,0.49882326020509493,False,-3.5522722294548092,7.295669055249755,PC4
C(GestationCohort)[T.28-32 Weeks],0.22384537573683944,3.555474994639214,0.06295793841170125,0.949799998124569,False,-6.744757561688761,7.192448313162441,PC4
C(GestationCohort)[T.33-36 Weeks],-1.40633298213281,4.535033211873131,-0.3101042299868724,0.7564816956606912,False,-10.29483474609715,7.482168781831531,PC4
C(SampleCollectionWeek)[T.Week.3],1.6417476324627627,1.4638492942529515,1.1215277685402707,0.26206327834025145,False,-1.227344263067398,4.510839527992923,PC4
C(MaternalAntibiotics)[T.None.Mat.Abx],1.250443584271218,2.3262393876563694,0.5375386518285249,0.5908955935841385,False,-3.308901834953775,5.809789003496211,PC4
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-1.3759085065709782,2.8957909625559215,-0.47514082486000836,0.6346866016433417,False,-7.05155449993716,4.2997374867952045,PC4
C(PostNatalAbxCohort)[T.No.Infant.Abx],-5.070031897937779,2.7298887148531352,-1.8572302491131185,0.06327840312577414,False,-10.420515460852258,0.2804516649766988,PC4
C(BSI_30D)[T.BSI ],12.287160987943128,10.597531938104847,1.159436089431634,0.24627847331370045,False,-8.483619935755328,33.057941911641585,PC4
C(BSI_30D)[T.BSI and No.BSI],12.804415625885966,9.89832193738492,1.2935945816760148,0.1958054950201552,False,-6.595938878771207,32.20477013054314,PC4
C(BSI_30D)[T.No.BSI],1.0890933519604198,3.2886393341999858,0.3311683773390612,0.7405173049928221,False,-5.356521301213334,7.534708005134174,PC4
C(BSI_30D)[T.No.BSI ],30.5165948690114,11.788503618910381,2.5886741740536587,0.009634620909389295,True,7.41155234432696,53.621637393695835,PC4
C(BSI_30D)[T.No.BSI  ],-1.3677922406638738,13.481116841915199,-0.10145986098207854,0.9191854193801482,False,-27.790295722194017,25.05471124086627,PC4
C(BSI_30D)[T.PICC],9.020173186740873,7.8845005328278726,1.1440386298643166,0.25260761689881195,False,-6.433163893688624,24.47351026717037,PC4
C(NEC_30D)[T.No.NEC],0.4874568529658171,5.226090419105705,0.09327371206279882,0.9256861157560202,False,-9.755492148431202,10.730405854362836,PC4
C(AnyMilk)[T.Mother],4.096359543682924,3.2863032006861643,1.2464947065224,0.2125828313804271,False,-2.344676371940664,10.537395459306513,PC4
C(AnyMilk)[T.No.Milk],10.432190338085864,4.500242523875619,2.3181395853087574,0.020441736147764927,True,1.6118770695940157,19.25250360657771,PC4
C(PICC)[T.PICC_LE],-1.5850587862781196,3.0071400708544056,-0.5270984220657748,0.5981252424623589,False,-7.47894502161998,4.308827449063742,PC4
C(PICC)[T.PICC_Neck],5.597856142253585,7.195910501218661,0.7779218684425775,0.4366150753415693,False,-8.505869276108559,19.70158156061573,PC4
C(PICC)[T.PICC_UE],-6.480178710640453,2.5540723289176275,-2.537194674274022,0.011174479548938923,True,-11.486068489229341,-1.4742889320515644,PC4
C(PICC)[T.axillary],-3.217567456910808,6.118354078392507,-0.5258877494968662,0.5989662010733878,False,-15.209321095223876,8.774186181402259,PC4
C(PICC)[T.peripheral_UE],3.5003101589009846,5.404494563132698,0.6476665149741664,0.5172006662624187,False,-7.0923045394816375,14.092924857283606,PC4
C(UVC)[T.UVC],5.4977540072605295,2.933636535973967,1.8740406113176784,0.06092482784186794,False,-0.25206794697928814,11.247575961500347,PC4
C(Delivery)[T.Vaginal],2.9774764124333783,2.7338086170150016,1.0891312558976545,0.27609600836955406,False,-2.380690017541279,8.335642842408035,PC4
Group Var,0.06754944256859653,0.03723982871958677,1.8139031486218418,0.06969263791227838,False,-0.005439280512233885,0.14053816564942695,PC4
Intercept,22.529994997075992,7.599325534690152,2.964736132730312,0.0030294264946014848,True,7.6355906422877045,37.42439935186428,PC5
C(SampleType)[T.Groin],4.429916339449527,1.8237196503271982,2.429055550646035,0.015138212687289048,True,0.8554915069102371,8.004341171988816,PC5
C(SampleType)[T.Stool],-3.964356256368107,1.7011580391874659,-2.3303868100706424,0.019785716267410523,True,-7.298564745186319,-0.6301477675498961,PC5
C(Location)[T.ZCH],-0.41878928016516903,2.6579667311929787,-0.15756001580095147,0.8748035127003834,False,-5.628308345409062,4.7907297850787245,PC5
C(GestationCohort)[T.28-32 Weeks],-0.6283929520520481,3.412514181214153,-0.18414368957390517,0.8539007331419264,False,-7.316797843963979,6.0600119398598835,PC5
C(GestationCohort)[T.33-36 Weeks],12.34781021112897,4.364167073508484,2.8293623967980213,0.004664085198781024,True,3.794199924536775,20.901420497721162,PC5
C(SampleCollectionWeek)[T.Week.3],-0.8511086823738213,1.4584637419336846,-0.5835651980250056,0.5595128803780671,False,-3.709645089321363,2.00742772457372,PC5
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.6925109860998929,2.202092449747077,-0.31447861609054234,0.7531575551350601,False,-5.008532878231742,3.6235109060319566,PC5
